question,label,generate_result,choice_result,logits
"题目： 某男，23岁。面目一身俱黄，色鲜如橘色，纳呆、恶心，脘胀、胁痛、胁下有痞块，小便黄少，大便溏薄，舌红苔黄腻，脉弦数。临床诊断最可能是
A. 湿热蕴脾证
B. 寒湿困脾证
C. 大肠湿热证
D. 肝胆湿热证",D,D,D,"0.3771070120276103,0.08335442744503208,0.8778879494869344,0.9948445604185144"
"题目： 循行于下肢内侧前缘内踝上八寸以下的经脉是
A. 足阳明胃经
B. 足厥阴肝经
C. 足少阴肾经
D. 足太阴脾经",B,C,C,"0.21507543032609155,0.5663066300833515,0.6518150143984984,0.580589137796887"
"题目： 某男，42岁。干咳1年，未认真治疗，近因参加劳动，咳嗽加剧，并咳血数口，现痰中带血丝，心烦，自感手足心热，睡时常出汗，小便少，大便干，舌红苔少而干，脉细数。临床诊断最可能是
A. 热邪壅肺证
B. 燥邪犯肺证
C. 肝火犯肺证
D. 肺阴虚证",D,A,A,"0.5043671714985044,0.31382454073467214,0.14007195677457074,0.35199376934714854"
"题目： “主液”的腑是
A. 胆
B. 小肠
C. 胃
D. 大肠",B,C,C,"0.40779522168441196,0.9050054936360312,0.9728819549634351,0.14446871430876973"
"题目： 胃与小肠上口相接处为
A. 魄门
B. 幽门
C. 贲门
D. 阑门",B,C,C,"0.7886488098045716,0.008088215968757417,0.9098208491962545,0.5765934123952849"
"题目： 患者精神抑郁，表情淡漠，沉默痴呆，语无伦次，静而多喜少动，当诊为
A. 狂证
B. 郁证
C. 痴呆
D. 癫证",D,C,C,"0.6493008752409031,0.20106647039731518,0.8999669516224629,0.4035911029465471"
"题目： 半身不遂，口眼歪斜，舌强语蹇，偏身麻木，头晕目眩，舌质暗淡，舌苔白腻，脉弦滑。证属
A. 痰热腑实，风痰上扰
B. 肝阳暴亢，风火上扰
C. 元神败脱，神明散乱
D. 风痰瘀血，痹阻脉络",D,B,B,"0.33349689553402595,0.610585085357987,0.4915746033984574,0.18013637343721522"
"题目： 下列属于“用寒远寒”治法的是
A. 阴盛慎用寒药
B. 假寒慎用寒药
C. 冬季慎用寒药
D. 阳虚慎用寒药",C,A,A,"0.373609765350027,0.196932655093787,0.1506222222985787,0.1895737800775663"
"题目： 中国古代收方最多，为研究复方用药提供珍贵资料的方书典籍是
A. 太平圣惠方
B. 本草纲目
C. 黄帝内经
D. 普济方",D,B,B,"0.6894780134693611,0.9790209849410842,0.7184791668280067,0.22971138577992678"
"题目： 益母草的功效是
A. 活血、利尿、清热、解毒
B. 活血、利尿、清热、通便
C. 活血、利尿、凉血、止血
D. 活血、利尿、消症、散结",A,B,B,"0.012312886004196666,0.8082781863635646,0.06804237409778469,0.757213515978349"
"题目： 喘息，呼吸气促，胸部胀闷，咳嗽，痰多稀薄色白，兼有头痛，鼻塞，恶寒无汗，舌苔薄白而滑，脉浮紧。其喘证证属
A. 痰浊阻肺
B. 风寒袭肺
C. 肺气郁痹
D. 表寒里热",B,B,B,"0.3207908807400284,0.6275241079786058,0.5661019538755138,0.1843870064278812"
"题目： 脾胃气虚的面色是
A. 面色萎黄
B. 面目一身俱黄
C. 面色青黄
D. 面黄虚浮",D,C,C,"0.18947801734455216,0.05854761180064316,0.4390699976468342,0.387174537334972"
"题目： 三国演义有“望梅止渴”的典故，延伸至临床的情志护理是属于
A. 暗示疗法
B. 释疑解惑
C. 发泄解郁
D. 诱导疗法",A,D,D,"0.543575793554917,0.4954888092877662,0.26896558198470233,0.7151730255880874"
"题目： 劳力过度主要伤及
A. 精
B. 气
C. 神
D. 血",B,D,D,"0.2848732940769245,0.13643552631977685,0.3518535730031547,0.7299661853730448"
"题目： 下列除哪项外，均为风寒感冒与风热感冒的主要鉴别依据
A. 流涕的清与浊
B. 头痛身疼与否
C. 恶寒发热的孰轻孰重
D. 渴与不渴",B,C,C,"0.42263576980100903,0.2190535447965295,0.6121073656850909,0.011611478380575746"
"题目： 某女，45岁。2天前食后受凉，腹泻不止，日行六七次，水样便，腹微痛，纳呆恶心，小便短少，舌苔白厚腻，脉缓。临床诊断最可能是
A. 胃寒证
B. 脾阳虚证
C. 外感寒湿证
D. 寒湿困脾证",D,A,A,"0.963954878408639,0.5175274773497708,0.8632697334435397,0.2570109605043268"
"题目： 某女，58岁。近半月因工作劳累过度，时感气短乏力，与别人争执后心前区胀痛，且放射到左肩背部，伴心悸失眠，舌淡红苔薄白，脉沉弦。临床诊断最可能是
A. 气滞血瘀证
B. 心气虚证
C. 气滞心脉证
D. 肝气郁结证",C,B,B,"0.372732738545944,0.9085977443483173,0.4854317774937291,0.0983590827425439"
"题目： 患者胸闷如窒而痛，痛引肩背，气短喘息，形体较胖，肢体困重，痰多，苔浊腻，脉滑。此胸痹证属
A. 阴寒凝滞
B. 心血瘀阻
C. 痰浊壅塞
D. 阳气虚衰",C,C,C,"0.1664915058145846,0.06656701107821639,0.5309642607872548,0.24063191109294413"
"题目： 胃的生理功能是
A. 主持诸气
B. 受纳腐熟
C. 传化糟粕
D. 受盛化物",B,C,C,"0.2689965928031961,0.1923328146538419,0.7353492485309144,0.3216490196231845"
"题目： 与甘草联用能增强抗炎、抗变态反应的西药是
A. 氢化可的松
B. 氯氮平
C. 呋喃唑酮
D. 碳酸锂",A,B,B,"0.40621765772138096,0.5965142531970556,0.5181341293051736,0.2766691001785333"
"题目： 《素问·至真要大论》对“诸寒之而热者”宜采用的治法为
A. 取之寒
B. 取之热
C. 取之阳
D. 取之阴",D,A,A,"0.5973339790106862,0.08216892461915026,0.2021008787838835,0.0852661516457075"
"题目： 下列不宜用阴阳的基本概念来概括的是
A. 动与静
B. 邪与正
C. 上与下
D. 寒与热",B,C,C,"0.7188138675556933,0.6561269542013747,0.8656110584326364,0.813567009792546"
"题目： 某女，42岁。胸中烦热，口苦咽干，腹痛喜暖，大便稀溏。临床诊断最可能是
A. 真寒假热证
B. 真热假寒证
C. 表实里虚证
D. 上热下寒证",A,B,B,"0.2656957497613318,0.8941924386760173,0.4075655163837013,0.8207738513867274"
"题目： 被称为“水谷之海”的是
A. 小肠
B. 脾
C. 大肠
D. 胃",D,A,A,"0.8130903963273541,0.5039575116750845,0.5472934136842915,0.08483269850341635"
"题目： 中医学整体观念的内涵是
A. 时令晨昏对人体有影响
B. 人体是一个整体，人和自然界相互统一
C. 五脏与六腑是一个整体
D. 自然界是一个整体",B,D,D,"0.7210138971357876,0.576711503668158,0.39146155439466823,0.9245866181447127"
"题目： 长期使用会造成肾衰的成分是
A. 甘草酸
B. 甘草甜素
C. 马兜铃酸
D. 鞣酸",C,D,D,"0.5069800342341297,0.32146478495500463,0.1844190128706812,0.7491211507750167"
"题目： 香加皮的主要不良反应是
A. 心律失常，如心率减慢、早搏、房室传导阻滞
B. 直接作用于中枢神经系统，甚或因呼吸中枢完全麻痹而致死
C. 恶心呕吐，腹痛腹泻，重者可见黄疸、肝肿大、消化道出血
D. 血小板、白细胞、血红蛋白减少，并可发生急性粒细胞减少",A,A,A,"0.8738714869174312,0.06844865546688372,0.41524104526336125,0.18278668142604393"
"题目： 以根、茎、种子类为主的汤剂，煎煮前需浸泡
A. 10-15分钟
B. 60分钟
C. 20-30分钟
D. 30-45分钟",B,C,C,"0.44226112249751615,0.5178073464971792,0.664759968683684,0.4272119054020378"
"题目： 下列中成药联合用药合理的是
A. 珍菊降压片与复方枇杷糖浆
B. 天麻丸与川贝枇杷胶囊
C. 苏合香丸与胆宁片
D. 二陈丸与平胃散",D,D,D,"0.2537630672046065,0.24732999853829107,0.5213854364735269,0.865213023599076"
"题目： 言人身脏腑之阴阳，则脾为
A. 阴中之至阴
B. 阴中之阳
C. 阴中之阴
D. 阳中之阴",A,B,B,"0.5918392385327715,0.6689037655198299,0.06799282368453219,0.386576469338057"
"题目： 根据病情和药效，健胃药宜
A. 早餐后服
B. 饭后服
C. 睡前服
D. 空腹服",B,C,C,"0.06457180740849788,0.24224876609700619,0.5950348356418396,0.03280082483788693"
"题目： 与语言、声音、呼吸的强弱有关的是
A. 宗气
B. 营气
C. 卫气
D. 元气",A,C,C,"0.314267112961121,0.7605608351152997,0.9123185008554112,0.3882727825729234"
"题目： 对虚实错杂证运用先攻后补治则的主要根据是
A. 正气虽虚尚可耐攻
B. 先扶正可致留邪
C. 先祛邪不会伤正
D. 标症紧急先治其标",A,C,C,"0.862439022787441,0.20287332441442796,0.9262563542313395,0.039277367744827596"
"题目： 按五行相生相克的规律，以下哪一条是错误的?
A. 木为水之子
B. 水为火之所不胜
C. 火为土之母
D. 金为木之所胜",D,A,A,"0.8681566191849339,0.617065746483464,0.20443970249740473,0.7998000739858433"
"题目： 在服用补益药期间偶遇外感，为防“闭门留寇”，最好
A. 增加服药次数
B. 停服
C. 减轻药量
D. 减少服药次数",B,D,D,"0.1757806880462649,0.07803541136642045,0.161651982625868,0.7592785631860067"
"题目： 不属于养生基本原则的是
A. 辨证论治
B. “节阴阳而调刚柔“的守中思想
C. “治未病“的预防思想
D. 突出精神心理健康",A,C,C,"0.10392454736108514,0.1743460840391975,0.71999407254871,0.27673769916263435"
"题目： 心悸不安，精神涣散，多由下列何种因素引起?
A. 悲伤肺
B. 怒伤肝
C. 喜伤心
D. 思伤脾",C,C,C,"0.7044941251061101,0.39263258978743076,0.8740629934299536,0.577530255994561"
"题目： 酸痛的常见病因是
A. 湿侵肌肉关节
B. 火邪窜至经络
C. 寒邪阻滞经络
D. 气血亏虚",A,D,D,"0.8428353576503249,0.0035937195640096675,0.43166263956059103,0.99269680849155"
"题目： 某女，29岁。2年来月经量多色淡，近半年失眠心悸，头晕眼花，纳少，腹胀，面唇淡白，舌淡苔少，脉弱。临床诊断最可能是
A. 心血虚证
B. 肝血虚证
C. 心肝血虚证
D. 心脾两虚证",D,A,A,"0.9551337165954261,0.615724586111187,0.04930842043264794,0.3344445800581093"
"题目： 某女，42岁。患“慢性胃炎“3年，胃脘隐痛，食后胀满，嗳气呃逆，虽饥而不欲多食，大便干，舌红无苔，脉细无力。临床诊断最可能是
A. 胃阴虚证
B. 脾胃气虚证
C. 脾阴虚证
D. 脾气虚证",A,C,C,"0.04812753698715633,0.3771520886798235,0.9721090948639275,0.8970193588797367"
"题目： 处方名益智仁，调剂时应付
A. 蜜炙品
B. 醋制品
C. 煅制品
D. 盐炙品",D,A,A,"0.8460447729927537,0.03854865215121317,0.06754732003109709,0.786248099293798"
"题目： 痰与饮的主要区别是
A. 色黄者为痰，色白者为饮
B. 得阳气煎熬而成者为痰，受阴气凝聚而成者为饮。
C. 浓度较大，较粘稠者为痰；浓度较小，较清稀者为饮。
D. 热者为痰，寒者为饮。",C,B,B,"0.556742136782364,0.9196884651630408,0.9029848608912711,0.4014657646741552"
"题目： 形成阴疽流注的病因多为
A. 暑邪
B. 瘀血
C. 痰饮
D. 热邪",C,C,C,"0.6227947643722227,0.012747103398847992,0.9561488604638536,0.7294988732449089"
"题目： 患者喘促日久，呼多吸少，气不得续，动则喘甚，小便常因咳甚而失禁，形瘦神疲，汗出肢冷，面唇青紫，宜选用的方剂是
A. 百合固金汤
B. 金匮肾气丸
C. 麻黄汤
D. 桑白皮汤",B,B,B,"0.3400739743385969,0.9680030249087637,0.013404178374593623,0.4685895796438556"
"题目： “益火之源，以消阴翳”的治法适用于
A. 实热证
B. 实寒证
C. 虚热证
D. 虚寒证",D,A,A,"0.8054251202915025,0.5282041271144273,0.46805425242669174,0.28375401001476785"
"题目： 具有行气血作用的气是
A. 营气
B. 元气
C. 宗气
D. 卫气",C,D,D,"0.5577932839995107,0.8687064510304939,0.8230030034262911,0.9001165774446532"
"题目： 据《素问·五常政大论》，能毒者当以
A. 薄药
B. 无毒药
C. 厚药
D. 针石",C,A,A,"0.974493440626705,0.21133015899787877,0.19840126034410654,0.47364535622792237"
"题目： 某男，40岁。长期胃部胀痛，近半年脘胀痞满益甚，胸闷气塞，纳差，大便3日一行，但不干燥，伴气短乏力，检查腹部按之软。舌淡，苔少，脉弱。临床诊断最可能是
A. 里实证
B. 真虚假实证
C. 里虚证
D. 真实假虚证",D,A,A,"0.6761021543159967,0.6750953543367146,0.2621737128070446,0.6715773101778371"
"题目： 脾之华在
A. 毛
B. 发
C. 面
D. 唇",D,B,B,"0.8076354577128867,0.9471915042187392,0.1616063680311104,0.7045362799995852"
"题目： 机体精神活动的物质基础是
A. 津
B. 血
C. 精
D. 气",B,B,B,"0.23624128918524034,0.9880032429255504,0.9308132984748211,0.2972240707116227"
"题目： 不属于谷食精气输布运行过程的是
A. 通调水道，下输膀胱
B. 脾气散精，上归于肺
C. 浊阴归六腑
D. 精气上输于脾",C,B,B,"0.008634749002334519,0.9520761165777428,0.8778515275096689,0.9046501013060906"
"题目： “用热远热，用寒远寒”是指治疗用药应注意
A. 因时制宜
B. 因地制宜
C. 因人制宜
D. 治标",A,C,C,"0.13377295946199086,0.1855886474681363,0.7617622727376965,0.5116018002532503"
"题目： 下列除哪项外，均为饮食停滞型腹痛的主症
A. 嗳腐吞酸
B. 脘腹胀满
C. 疼痛拒按
D. 舌红少苔，脉细数",D,B,B,"0.5833272315657863,0.8619020792526745,0.5105359269244992,0.044488816090470285"
"题目： 脾病面色黄，见何种脉时为逆
A. 洪脉
B. 弦脉
C. 浮脉
D. 缓脉",B,C,C,"0.06702703812654809,0.00688961918600306,0.35314215657587444,0.31388131106487016"
"题目： 某男，25岁。因腹泻就诊。症见腹痛肠鸣，泻下粪便臭如败卵，伴有未消化食物，泻后痛减，嗳腐吞酸，不思饮食。舌苔厚腻，脉滑。宜选用的中成药是
A. 四神丸
B. 参苓白术散
C. 保和丸
D. 葛根芩连丸",C,D,D,"0.5854456528388974,0.0046690377665589144,0.6736363792140434,0.9360274648781706"
"题目： 苍耳子的主要不良反应是
A. 血小板、白细胞、血红蛋白减少，并可发生急性粒细胞减少
B. 恶心呕吐，腹痛腹泻，重者可见黄疸、肝肿大、消化道出血
C. 直接作用于中枢神经系统，甚或因呼吸中枢完全麻痹而致死
D. 导致精子产生和成熟发生障碍，抑制女性患者的卵巢功能",B,A,A,"0.9517469280596127,0.11098741055241212,0.0035197571873756273,0.8433645391348555"
"题目： 据《素问·脉要精微论》，“梦哭”是由于
A. 肾气盛
B. 肺气盛
C. 肾气虚
D. 肺气虚",B,A,A,"0.32819018067484984,0.022041374709942496,0.08151610400775,0.23203055603720113"
"题目： 服用银翘解毒丸宜用的“药引”是
A. 盐水
B. 焦三仙煎汤
C. 芦根煎汤
D. 黄酒",C,D,D,"0.016014941849492814,0.3115835077874115,0.059183015120192306,0.5822154480039622"
"题目： 六腑共同的生理特点是
A. 化生精气
B. 实而不满
C. 储藏精气
D. 藏而不泻",B,A,A,"0.9300610143585459,0.07503514498636688,0.01859837834266964,0.605213766249121"
"题目： 据《素问·五藏别论》六腑的功能是
A. 传化物而不藏
B. 满而不能实
C. 泻而不藏
D. 藏精气而不泻也",A,C,C,"0.5472602612765649,0.6704495359371299,0.9611772384092858,0.7937503180112859"
"题目： 乳食内积导致的食积，治宜选用的方剂是
A. 消乳丸
B. 保和丸
C. 消积理脾汤
D. 枳术丸",A,A,A,"0.9394050244256427,0.9002240083955022,0.9391345580672884,0.20481047624990412"
"题目： 不属于六腑生理功能特点的是
A. 其气象天
B. 泻而不藏
C. 天气之所生
D. 象于地",D,C,C,"0.32291471628553314,0.5307203594846412,0.6617672622301158,0.4328018712532753"
"题目： 下列无收涩敛疮功效的药物是
A. 乌贼骨
B. 乳香
C. 孩儿茶
D. 炉甘石",B,A,A,"0.4057351838741149,0.37929952727532823,0.3916755337659954,0.056878114208886776"
"题目： 干咳少痰，或痰液胶粘难咯，多因感受哪种病邪?
A. 寒邪
B. 燥邪
C. 风邪
D. 暑邪",B,A,A,"0.9182981959666598,0.4995819475487542,0.5524522447039766,0.43640918643873805"
"题目： 患者咳逆阵作，痰中带血，时时汗出，胸胁胀痛，口苦咽干，尿黄便秘，舌红苔薄黄，脉弦数。其诊断是
A. 肺痨，阴虚火旺
B. 肺痈，成痈期
C. 咳嗽，肝火犯肺
D. 咯血，肝火犯肺",D,D,D,"0.09353120173894636,0.016732591893085957,0.5647921592627214,0.9752870273287891"
"题目： 《素问·上古天真论》认为男子衰老始于
A. 四八
B. 四七
C. 五八
D. 五七",C,A,A,"0.8128751742031745,0.03569473518944877,0.2578135240463729,0.3127804929525214"
"题目： 《素问·五脏别论》称为“满而不能实”者是指
A. 六腑
B. 奇恒之腑
C. 五脏
D. 脏腑",C,C,C,"0.8064733515756516,0.2910946069298479,0.9445611677240752,0.09771017137626492"
"题目： 灌注于骨节、脏腑、脑髓的是
A. 气
B. 血
C. 液
D. 津",C,C,C,"0.5883857788783399,0.9605212444971961,0.9766027432239728,0.014127417847755064"
"题目： 偏阴质在用药上的使用注意是
A. 宜用温性药，忌用苦寒药
B. 宜用凉润药，忌用辛香燥热药
C. 宜用凉润药，忌用温热药
D. 宜用寒性药，忌用温热药",A,B,B,"0.028772839919666837,0.78584720808756,0.2966540964629947,0.1925182028010639"
"题目： 中医养生的三个层次包括
A. 养身、养病、养心
B. 养身、养性、养心
C. 养身、养性、养神
D. 养病、养性、养心",B,A,A,"0.8966946420260153,0.5212177985937191,0.7027002382732055,0.12616109419384502"
"题目： 《素问·六节藏象论》所论的五脏的“其华”中，心其华在
A. 骨
B. 筋
C. 面
D. 血",C,C,C,"0.2079125870180687,0.020740682246483733,0.8644578245689006,0.2218447048802772"
"题目： 宜与土鳖虫对抗贮存的是
A. 黑豆
B. 花椒
C. 大蒜
D. 冰片",C,A,A,"0.6065570050016705,0.23750475535838622,0.32067123740254966,0.17667394601484498"
"题目： 春季人体肝气、脾气相对不足，易精神倦怠，嗜睡，应适当控制睡眠时间，起居方面应遵循
A. 夜卧晚起
B. 早卧晚起
C. 夜卧早起
D. 早卧早起",C,A,A,"0.90721429039201,0.4323480387960218,0.5211861987613932,0.8874227499949774"
"题目： 据《素问·热论》，其满三日者当用
A. 泄热之法
B. 泻下之法
C. 涌吐之法
D. 发汗之法",A,C,C,"0.19427573679018817,0.14506374220861262,0.9297296588397854,0.7238517102703423"
"题目： 《素问·至真要大论》中对“留者”病证的治疗宜采用
A. 攻之
B. 散之
C. 削之
D. 除之",A,C,C,"0.5037963764249255,0.2908325154579232,0.8600348953782695,0.09236369258447263"
"题目： 某男，35岁。舌左侧长一个黄豆大小的溃疡已一周，局部灼痛难耐，烦躁易怒，失眠多梦，溲赤便干，舌红苔黄干，脉滑数。临床诊断最可能是
A. 肝胆湿热证
B. 胃火亢盛证
C. 心火亢盛证
D. 肝火上炎证",C,A,A,"0.756784744093856,0.6783858093394456,0.050759453650916164,0.26807459562410985"
"题目： 不属于“阳盛则外热“机理的是
A. 热气熏胸中
B. 上焦不通利
C. 腠理闭塞
D. 皮肤致密",A,A,A,"0.9131277961427379,0.13675964197331913,0.4488735519387278,0.5706025790525134"
"题目： 中医治疗疾病的基本原则是
A. 调整阴阳
B. 治病求本
C. 扶正祛邪
D. 因地制宜",B,B,B,"0.04792597760726691,0.544460101703337,0.4888639540859989,0.1412709103160884"
"题目： 某女，26岁。新婚第3天，即发热，腰痛，尿频尿急，尿道灼痛，小便黄少，舌红苔黄，脉数。临床诊断最可能是
A. 小肠实热证
B. 湿热下注证
C. 膀胱湿热证
D. 热结膀胱证",C,D,D,"0.39143748521921073,0.10544280950275753,0.27162906169107814,0.7726772358505534"
"题目： 功能活血止痛，行气解郁，凉血清心，利胆退黄的药是
A. 郁金
B. 栀子
C. 大黄
D. 虎杖",A,D,D,"0.22727891057281324,0.06881041185232095,0.30053015612382816,0.9720243314856118"
"题目： 据《素问·六节藏象论》，五脏中其华在发的是
A. 肺
B. 肝
C. 心
D. 肾",D,C,C,"0.7620671516169973,0.14648271013467606,0.8225162764606392,0.2549183860302421"
"题目： 分布于面颊部的经脉是
A. 足少阳胆经
B. 手太阳小肠经
C. 足阳明胃经
D. 手少阳三焦经",B,D,D,"0.1405947265589006,0.5844343652487265,0.6959645850200559,0.8113748533714259"
"题目： “动极者镇之以静，阴亢者胜之以阳”说明了阴阳之间的何种关系
A. 阴阳对立制约
B. 阴阳相互消长
C. 阴阳相互转化
D. 阴阳互根互用",A,D,D,"0.7094378934002491,0.5259744683282751,0.40570176528852153,0.718361916922602"
"题目： 久病畏寒的主要病因是
A. 风邪袭表
B. 寒邪内侵
C. 阳气虚衰
D. 湿邪外袭",C,A,A,"0.7427247292551165,0.2481592698683538,0.6719579150540532,0.5133102126659967"
"题目： 脾统血的含义是
A. 脾有贮藏血液的作用
B. 脾有调节经脉中血流量的作用
C. 脾有统摄血液在经脉中运行的作用
D. 脾有推动血液在经脉中流行的作用",C,C,C,"0.31499143362294246,0.4828978789538151,0.703142744545663,0.24367279871333936"
"题目： 膀胱贮存和排泄小便，主要依赖于
A. 肝的疏泄作用
B. 膀胱的气化作用
C. 肾的气化作用
D. 肺的宣发肃降作用",C,D,D,"0.026007165209755878,0.5151735069549418,0.2631299217591765,0.5675710877024969"
"题目： 下列哪项不是四逆汤中配伍炙甘草的用意
A. 调和诸药
B. 解生附子之毒
C. 缓干姜之峻
D. 缓生附子之峻",A,D,D,"0.45413410398959,0.12505448038698985,0.37628574547364024,0.76265266920212"
"题目： 在《素问·脉要精微论》中，精明之府是指
A. 髓
B. 耳
C. 头
D. 目",C,A,A,"0.9176465405785431,0.39081372053703745,0.11885065780472681,0.8765406191753637"
"题目： 属于阴中之阳的时间是
A. 上午
B. 前半夜
C. 后半夜
D. 下午",C,B,B,"0.35809066712944915,0.9423112496266213,0.017468257023863676,0.08159461117492683"
"题目： 面色发黑的主病是
A. 血虚
B. 寒症
C. 气虚
D. 惊风",B,A,A,"0.9313122533829116,0.4073032706989159,0.04087046792488269,0.2854653020503539"
"题目： 某女，3岁。患“乙脑“病8天，低热不退，颧红盗汗，失语，手足蠕动，舌红绛苔无，脉细数。临床诊断最可能是
A. 肝肾阴虚
B. 肾阴虚
C. 肝阴虚
D. 阴虚动风",D,D,D,"0.21306590373291734,0.49392356457644704,0.5884080585321181,0.6732697779830822"
"题目： 发热，口渴，胸痛，咯痰黄稠不爽，舌红，苔黄，脉滑数。风温证属
A. 邪犯肺卫
B. 热入心营
C. 邪热壅肺
D. 热郁阳明",C,A,A,"0.5914897045806974,0.3702720926738179,0.22291138314541337,0.5476341715446587"
"题目： 五行中土的特性是
A. 阳热、上炎
B. 长养、化育
C. 清静、收杀
D. 生发、柔和",B,A,A,"0.7478525507974961,0.35275748073456903,0.24839210746493823,0.08229369608008874"
"题目： 导致泄泻的关键病机是
A. 脾虚湿盛
B. 脾胃虚弱
C. 食滞胃肠
D. 脾肾阳虚",A,A,A,"0.7703044785375305,0.0488042874062965,0.492798722220667,0.6469526712953151"
"题目： 阴偏胜所致证候是：参考答案
A. 虚寒证
B. 实热证
C. 虚热证
D. 实寒证",D,C,C,"0.08590214464614165,0.4086637714395628,0.6500467452462169,0.22031314863865792"
"题目： 囟填的原因是
A. 邪热亢盛
B. 肾精亏损
C. 津液亏损
D. 外感风邪",B,A,A,"0.7836374955205313,0.5059317490520977,0.7821539003272733,0.15104062459138223"
"题目： 患者，女，25岁，妊娠8周。下列各项，可以服用的药组是
A. 三棱、莪术、水蛭
B. 当归、阿胶、丹参
C. 巴豆、牵牛子、商陆
D. 斑蝥、麝香、虻虫",B,D,D,"0.7070552164627726,0.3545050862436063,0.6065769643705459,0.7502862132998118"
"题目： 《素问·五常政大论》认为，治温病用凉药，服药宜
A. 凉而行之
B. 冷而行之
C. 温而行之
D. 热而行之",B,D,D,"0.7952419951555675,0.016518122924179424,0.8009482456645374,0.965450001086978"
"题目： 中医学“证”的概念是
A. 对疾病症状与体征的分析过程
B. 对疾病症状与体征的调查过程
C. 疾病的症状与体征
D. 疾病发展过程中某一阶段的病理概括",D,B,B,"0.24743798368963676,0.975159338367833,0.5185496928708193,0.5222142584949045"
"题目： 下列除哪项外，均为狂证的特征
A. 动而多怒
B. 精神亢奋
C. 狂燥不安
D. 表情淡漠",D,C,C,"0.5137962110560442,0.317545810127287,0.6372578704065821,0.028153698893756074"
"题目： 在中医观察舌象的目的中哪项不对
A. 了解病位深浅
B. 判断正气盛衰
C. 辨别病位深浅
D. 区别病邪性质",A,D,D,"0.08478631097458733,0.460847080385416,0.7568305679623657,0.8181947324431287"
